00101.ppm;830;402;894;465;3;83.22
00102.ppm;932;311;991;366;4;91.78
00102.ppm;758;723;773;738;3;79.11
00103.ppm;853;458;878;486;4;63.67
00104.ppm;766;462;811;504;2;77.78
00105.ppm;965;387;1018;436;2;74.33
00105.ppm;254;439;304;487;2;72.56
00111.ppm;346;501;386;539;1;67.22
00112.ppm;363;471;403;510;1;73.11
00113.ppm;341;405;431;490;3;75.0
00114.ppm;1163;416;1237;490;1;77.56
00115.ppm;849;217;952;320;3;92.22
00119.ppm;845;471;875;498;2;75.33
00120.ppm;54;237;170;351;1;82.78
00121.ppm;80;301;197;424;1;76.22
00123.ppm;520;493;551;526;1;82.0
00123.ppm;1099;482;1135;517;1;75.67
00124.ppm;531;481;561;510;1;81.0
00124.ppm;978;471;1003;497;1;89.22
00125.ppm;1009;302;1113;410;1;82.89
00126.ppm;380;365;411;397;1;84.44
00126.ppm;837;372;871;408;1;83.89
00127.ppm;135;382;178;426;1;84.11
00127.ppm;1007;378;1046;420;1;78.56
00129.ppm;961;378;1012;428;1;81.89
00129.ppm;865;401;906;442;2;82.78
00130.ppm;323;444;342;464;1;64.89
00130.ppm;208;425;238;455;1;83.33
00130.ppm;599;429;629;459;1;77.22
00131.ppm;1009;429;1036;456;1;80.33
00131.ppm;475;390;502;418;1;74.22
00132.ppm;310;301;398;383;2;75.22
00134.ppm;1000;292;1080;372;1;75.11
00135.ppm;714;294;782;361;1;80.89
00136.ppm;815;401;861;444;2;69.0
00137.ppm;823;322;891;388;2;84.11
00138.ppm;161;184;233;265;1;70.67
00141.ppm;856;378;897;419;1;74.22
00142.ppm;816;453;838;475;1;84.67
00144.ppm;707;444;728;467;1;80.33
00146.ppm;707;404;734;429;2;81.78
00147.ppm;755;426;781;450;1;64.78
00148.ppm;868;351;947;425;2;79.67
00149.ppm;1125;267;1228;369;1;84.22
00150.ppm;822;344;868;389;1;86.11
